Alert ID,Ticker,Description,Time
261016040,"BINANCE:BCHUSDTPERP, 15m",ticker:BCHUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:681.13;timenow:2021-08-23T06:54:20Z,2021-08-23T06:54:20.000Z
261017427,"BINANCE:COMPUSDTPERP, 15m",ticker:COMPUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:461.14;timenow:2021-08-23T06:39:54Z,2021-08-23T06:39:54.000Z
261016821,"BINANCE:MANAUSDTPERP, 15m",ticker:MANAUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.8918;timenow:2021-08-23T06:29:55Z,2021-08-23T06:29:55.000Z
261016559,"BINANCE:SUSHIUSDTPERP, 15m",ticker:SUSHIUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:13.801;timenow:2021-08-23T06:29:37Z,2021-08-23T06:29:37.000Z
261016768,"BINANCE:SRMUSDTPERP, 15m",ticker:SRMUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:7.428;timenow:2021-08-23T06:29:35Z,2021-08-23T06:29:35.000Z
261015865,"BINANCE:RUNEUSDTPERP, 15m",ticker:RUNEUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:11.15;timenow:2021-08-23T06:29:32Z,2021-08-23T06:29:32.000Z
261016998,"BINANCE:XLMUSDTPERP, 15m",ticker:XLMUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.37615;timenow:2021-08-23T06:29:26Z,2021-08-23T06:29:26.000Z
261018689,"BINANCE:IOTXUSDTPERP, 15m",ticker:IOTXUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.07851;timenow:2021-08-23T06:29:26Z,2021-08-23T06:29:26.000Z
261016114,"BINANCE:NEARUSDTPERP, 15m",ticker:NEARUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:5.5681;timenow:2021-08-23T06:20:14Z,2021-08-23T06:20:14.000Z
261015813,"BINANCE:SANDUSDTPERP, 15m",ticker:SANDUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.66682;timenow:2021-08-23T06:19:47Z,2021-08-23T06:19:47.000Z
261017088,"BINANCE:KSMUSDTPERP, 15m",ticker:KSMUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:332.52;timenow:2021-08-23T06:19:15Z,2021-08-23T06:19:15.000Z
261016683,"BINANCE:GRTUSDTPERP, 15m",ticker:GRTUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:1.04153;timenow:2021-08-23T06:19:15Z,2021-08-23T06:19:15.000Z
261016642,"BINANCE:DENTUSDTPERP, 15m",ticker:DENTUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.006847;timenow:2021-08-23T06:19:14Z,2021-08-23T06:19:14.000Z
261017036,"BINANCE:CRVUSDTPERP, 15m",ticker:CRVUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:2.443;timenow:2021-08-23T06:18:07Z,2021-08-23T06:18:07.000Z
261018075,"BINANCE:REEFUSDTPERP, 15m",ticker:REEFUSDTPERP;interval:15;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.025238;timenow:2021-08-23T06:15:07Z,2021-08-23T06:15:07.000Z
261018075,"BINANCE:REEFUSDTPERP, 15m",ticker:REEFUSDTPERP;interval:15;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.025231;timenow:2021-08-23T06:09:50Z,2021-08-23T06:09:50.000Z
261018501,"BINANCE:BANDUSDTPERP, 15m",ticker:BANDUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:9.9868;timenow:2021-08-23T06:03:44Z,2021-08-23T06:03:44.000Z
261019229,"BINANCE:LRCUSDTPERP, 15m",ticker:LRCUSDTPERP;interval:15;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.54422;timenow:2021-08-23T05:56:22Z,2021-08-23T05:56:22.000Z
261018075,"BINANCE:REEFUSDTPERP, 15m",ticker:REEFUSDTPERP;interval:15;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.025237;timenow:2021-08-23T05:53:44Z,2021-08-23T05:53:44.000Z
261017036,"BINANCE:CRVUSDTPERP, 15m",ticker:CRVUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:2.443;timenow:2021-08-23T05:53:40Z,2021-08-23T05:53:40.000Z
261017088,"BINANCE:KSMUSDTPERP, 15m",ticker:KSMUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:332.51;timenow:2021-08-23T05:52:57Z,2021-08-23T05:52:57.000Z
261016683,"BINANCE:GRTUSDTPERP, 15m",ticker:GRTUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:1.04166;timenow:2021-08-23T05:51:37Z,2021-08-23T05:51:37.000Z
261019454,"BINANCE:SKLUSDTPERP, 15m",ticker:SKLUSDTPERP;interval:15;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.38475;timenow:2021-08-23T05:42:26Z,2021-08-23T05:42:26.000Z
261016114,"BINANCE:NEARUSDTPERP, 15m",ticker:NEARUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:5.5709;timenow:2021-08-23T05:37:37Z,2021-08-23T05:37:37.000Z
261017036,"BINANCE:CRVUSDTPERP, 15m",ticker:CRVUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:2.442;timenow:2021-08-23T05:37:10Z,2021-08-23T05:37:10.000Z
261016114,"BINANCE:NEARUSDTPERP, 15m",ticker:NEARUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:5.5602;timenow:2021-08-23T05:23:52Z,2021-08-23T05:23:52.000Z
261018501,"BINANCE:BANDUSDTPERP, 15m",ticker:BANDUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:9.9862;timenow:2021-08-23T05:21:17Z,2021-08-23T05:21:17.000Z
261017505,"BINANCE:CTKUSDTPERP, 15m",ticker:CTKUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:2.274;timenow:2021-08-23T05:19:35Z,2021-08-23T05:19:35.000Z
261018985,"BINANCE:KEEPUSDTPERP, 15m",ticker:KEEPUSDTPERP;interval:15;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.4474;timenow:2021-08-23T05:00:33Z,2021-08-23T05:00:33.000Z
261015220,"BINANCE:AVAXUSDTPERP, 15m",ticker:AVAXUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:48.814;timenow:2021-08-23T04:09:13Z,2021-08-23T04:09:13.000Z
261017986,"BINANCE:RSRUSDTPERP, 15m",ticker:RSRUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.05245;timenow:2021-08-23T04:08:52Z,2021-08-23T04:08:52.000Z
261018766,"BINANCE:ONEUSDTPERP, 15m",ticker:ONEUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.12015;timenow:2021-08-23T04:00:00Z,2021-08-23T04:00:00.000Z
261018985,"BINANCE:KEEPUSDTPERP, 15m",ticker:KEEPUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.4477;timenow:2021-08-23T03:51:44Z,2021-08-23T03:51:44.000Z
261018591,"BINANCE:HOTUSDTPERP, 15m",ticker:HOTUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.011291;timenow:2021-08-23T03:51:13Z,2021-08-23T03:51:13.000Z
261018766,"BINANCE:ONEUSDTPERP, 15m",ticker:ONEUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.12017;timenow:2021-08-23T03:48:25Z,2021-08-23T03:48:25.000Z
261017331,"BINANCE:COTIUSDTPERP, 15m",ticker:COTIUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.31064;timenow:2021-08-23T03:45:09Z,2021-08-23T03:45:09.000Z
261017331,"BINANCE:COTIUSDTPERP, 15m",ticker:COTIUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.31061;timenow:2021-08-23T03:44:36Z,2021-08-23T03:44:36.000Z
261018501,"BINANCE:BANDUSDTPERP, 15m",ticker:BANDUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:9.7211;timenow:2021-08-23T03:20:04Z,2021-08-23T03:20:04.000Z
261018985,"BINANCE:KEEPUSDTPERP, 15m",ticker:KEEPUSDTPERP;interval:15;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.4374;timenow:2021-08-23T03:16:10Z,2021-08-23T03:16:10.000Z
261018766,"BINANCE:ONEUSDTPERP, 15m",ticker:ONEUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.12033;timenow:2021-08-23T03:09:30Z,2021-08-23T03:09:30.000Z
261017894,"BINANCE:HNTUSDTPERP, 15m",ticker:HNTUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:23.963;timenow:2021-08-23T03:08:30Z,2021-08-23T03:08:30.000Z
261017331,"BINANCE:COTIUSDTPERP, 15m",ticker:COTIUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.31072;timenow:2021-08-23T03:04:25Z,2021-08-23T03:04:25.000Z
261018591,"BINANCE:HOTUSDTPERP, 15m",ticker:HOTUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.011298;timenow:2021-08-23T03:00:26Z,2021-08-23T03:00:26.000Z
261018591,"BINANCE:HOTUSDTPERP, 15m",ticker:HOTUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.0113;timenow:2021-08-23T02:51:51Z,2021-08-23T02:51:53.000Z
261016963,"BINANCE:1000SHIBUSDTPERP, 15m",ticker:1000SHIBUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.008279;timenow:2021-08-23T02:49:46Z,2021-08-23T02:49:46.000Z
261015348,"BINANCE:SOLUSDTPERP, 15m",ticker:SOLUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:73.916;timenow:2021-08-23T02:48:51Z,2021-08-23T02:48:52.000Z
261017717,"BINANCE:BAKEUSDTPERP, 15m",ticker:BAKEUSDTPERP;interval:15;buy:0;sell:0;buy_strong:0;sell_strong:1;close:3.0319;timenow:2021-08-23T02:43:11Z,2021-08-23T02:43:11.000Z
