Alert ID,Ticker,Description,Time
261018985,"BINANCE:KEEPUSDTPERP, 15m",ticker:KEEPUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.4313;timenow:2021-08-24T08:36:59Z,2021-08-24T08:36:59.000Z
261019279,"BINANCE:YFIUSDTPERP, 15m",ticker:YFIUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:40270;timenow:2021-08-24T08:17:52Z,2021-08-24T08:17:52.000Z
261015309,"BINANCE:ALICEUSDTPERP, 15m",ticker:ALICEUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:17.532;timenow:2021-08-24T08:15:58Z,2021-08-24T08:15:58.000Z
261018985,"BINANCE:KEEPUSDTPERP, 15m",ticker:KEEPUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.4315;timenow:2021-08-24T08:15:07Z,2021-08-24T08:15:07.000Z
261018539,"BINANCE:BALUSDTPERP, 15m",ticker:BALUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:30.838;timenow:2021-08-24T08:11:44Z,2021-08-24T08:11:44.000Z
261016998,"BINANCE:XLMUSDTPERP, 15m",ticker:XLMUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.38106;timenow:2021-08-24T08:11:29Z,2021-08-24T08:11:29.000Z
261016963,"BINANCE:1000SHIBUSDTPERP, 15m",ticker:1000SHIBUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.008224;timenow:2021-08-24T08:11:25Z,2021-08-24T08:11:25.000Z
261017758,"BINANCE:WAVESUSDTPERP, 15m",ticker:WAVESUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:25.964;timenow:2021-08-24T08:11:08Z,2021-08-24T08:11:08.000Z
261018985,"BINANCE:KEEPUSDTPERP, 15m",ticker:KEEPUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.4316;timenow:2021-08-24T08:03:22Z,2021-08-24T08:03:22.000Z
261016431,"BINANCE:UNIUSDTPERP, 15m",ticker:UNIUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:29.209;timenow:2021-08-24T08:02:18Z,2021-08-24T08:02:18.000Z
261016601,"BINANCE:VETUSDTPERP, 15m",ticker:VETUSDTPERP;interval:15;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.13251;timenow:2021-08-24T08:02:05Z,2021-08-24T08:02:05.000Z
