Leverage,Ratio,Risk,Max Steps,Percent Of max range,Total Trades,Profit,Balance Min,Balance Max,Max Step,Actions
100,3.5,21,4,30,5479,20662011250960.26,86.635978661824,21276101921958.547,4,
100,3,25,4,20,10189,17444262526414.014,84.17757057283853,17444262526514.01,4,
75,3.5,31,5,10,11018,13669406181498.96,89.9286140172464,13669406181598.96,5,
75,4.5,23,5,20,3642,8767519188342.064,83.97532536174108,8767519188442.064,5,
125,3.5,31,5,30,10179,5980584381408.706,90.04443482697478,5980584381508.707,5,
125,3,25,4,40,8268,4445049765651.269,84.20340174381607,4488464894093.79,4,
75,3.5,21,4,20,4657,3289422671636.411,95.24,3343166253115.585,4,
125,3.5,31,5,20,16551,3084038941671.7285,83.97829147048748,3096118203792.044,5,
75,4,25,5,20,4055,2637628212338.15,82.73792173421273,2637628212438.1514,5,
125,3,25,4,20,18874,2614963228309.1987,84.6376744400871,2627675297735.107,4,
100,3.5,31,5,20,8940,2494407791783.4043,89.24610409369615,2510763260513.3535,5,
100,4,25,5,30,4722,2407091314921.0835,96,2436606530851.938,5,
50,4,25,5,10,4626,1740627230375.8232,96,1762191456659.6846,5,
100,3.5,31,5,10,20865,1590235017472.099,83.0619803677976,1595432767473.8591,5,
100,4.5,23,5,40,2799,1421759341489.6846,86.29174057726007,1421759341589.6846,5,
100,3.5,21,4,40,3662,1415238135826.6099,83.63930586640612,1471881930877.6462,4,
75,4.5,17,4,30,2052,1360816004555.1763,80.7174059340809,1360816004655.176,4,
100,3,25,4,10,23808,960078735542.3638,83.61241834011557,968078848322.0408,4,
100,5,21,5,40,2465,854664226450.3033,79.78654507523508,854664226550.3032,5,
100,3,25,4,30,6262,719753901882.4948,84.24269131676357,728579363496.7882,4,
125,3.5,31,5,40,7094,690660655136.7079,89.3577905604025,696090498292.5524,5,
75,4,18,4,30,2289,428574789749.9107,78.69630462294415,428574789849.91077,4,
50,3,25,4,10,6163,374482440274.28345,84.30284137260179,379121816287.016,4,
125,4,25,5,10,37880,343176299519.752,83.50902067868745,344008541268.61066,5,
75,5,16,4,30,1875,248184226677.65152,93.74666666666667,248184226777.6515,4,
50,5,16,4,20,1487,199366169198.75513,88.30927908618696,238741722254.44565,4,
75,3,25,4,20,5441,148139452805.6784,85.97034934530231,152254891852.1144,4,
100,4,25,5,40,3172,145614609284.9203,87.09309800331317,145614609384.92032,5,
125,3.5,21,4,10,43388,130785149253.1924,83.412440817072,131162905868.87881,4,
50,3.5,31,5,10,5347,109132178015.90544,91.29686016164956,111331246366.6965,5,
100,3.5,31,5,30,5378,92302686534.03401,91.26975020765566,94143407571.65666,5,
75,3.5,21,4,30,2704,90017755207.84076,81.21505345557236,90017755307.84076,4,
75,4.5,17,4,40,1429,85504066788.71858,88.58813020656672,105175053670.14018,4,
75,3,38,5,10,12554,52912458174.041794,93.58431334694781,52912458274.04181,5,
125,3,38,5,30,11544,35374335958.05277,90.18980194081794,35374336058.05277,5,
100,3,25,4,40,4288,23659704137.448708,96,23659704237.448704,4,
50,4.5,17,4,20,1586,13365771633.590527,88.31909441785263,15452805386.457893,4,
75,3.5,31,5,20,4651,11118031051.288021,96.77333333333334,11240439067.83738,5,
100,3,38,5,20,10117,10682188788.588715,89.70755120862017,10682188888.588713,5,
125,3,38,5,20,18821,9012649231.465466,84.00530447826651,9041425826.116428,5,
75,5,21,5,30,1795,8834881967.208475,95.24,8834882067.208477,5,
50,4,18,4,20,1792,7608015015.076843,94.44,7894756701.838207,4,
75,4,25,5,30,2275,5320873904.75476,79.51270097679186,5320874004.754759,5,
75,4,18,4,40,1579,5255245949.660448,88.557219490521,6116194115.103917,4,
125,3,38,5,40,8176,4665679073.844868,89.74186181242038,4695559616.531497,5,
100,3,38,5,10,23722,4343353797.818594,83.42522914620312,4354928230.758137,5,
50,5,21,5,20,1424,3840436821.5776596,91.42498476927443,4711507033.680893,5,
75,3,25,4,30,3183,3112975621.6739726,81.86988589401851,3244524750.410168,4,
75,4.5,23,5,30,2067,3063144961.996759,80.33568703359421,3063145061.996759,5,
50,3.5,21,4,20,2045,2948475538.125663,78.85617120254102,2948475638.1256623,4,
100,3.5,31,5,40,3597,2872830327.594336,81.79087032121642,2949729147.1976357,5,
75,5,16,4,40,1270,1388826688.6205192,93.74666666666667,2165595192.964011,4,
100,3,38,5,30,6215,1303016152.2996922,89.81310598775578,1313483720.883866,5,
50,4.5,23,5,20,1568,1155782296.9243708,91.67182727849935,1391127217.7529314,5,
75,3,38,5,20,5372,1024048577.5894519,91.0471542088164,1054667089.1946802,5,
50,3,38,5,10,6128,917266552.5699568,89.77671035925792,924711286.6743038,5,
75,3.5,21,4,40,1795,687009257.3885324,95.24,738915664.1912123,4,
50,3,25,4,20,2393,654456366.3850183,81.42060781063566,654456466.3850186,4,
125,3.5,31,5,10,43434,593142827.6508611,83.56051508481158,594302415.0419008,5,
75,4.5,23,5,40,1385,415823311.6810531,91.88451809433408,511000115.5643843,5,
50,4.5,17,4,30,870,331960916.739138,85.26818792280427,419584680.8166964,4,
75,5,21,5,40,1233,301374780.37886155,95.24,405842912.4142809,5,
75,3.5,31,5,30,2670,278783649.4134607,87.46220434243796,278783749.4134606,5,
125,3,25,4,10,50353,231745938.10390913,83.75245218407741,232308048.6653246,4,
75,3,25,4,40,2113,217669081.80598927,77.62036925736632,217669181.80598924,4,
75,4,25,5,40,1544,204123877.1770407,92.0346381674207,251715811.9771056,5,
50,4,25,5,20,1753,190779290.47645754,96,209620690.571311,5,
50,4,18,4,30,1007,184228526.11658156,94.44,308662268.13701534,4,
100,3,38,5,40,4267,177551197.7242483,97.37,177551297.7242483,5,
50,5,21,5,30,741,96416934.13616203,80.78116747410597,132776984.9049381,5,
75,3,38,5,30,3165,32253162.492627982,88.2254449349002,33137173.266310513,5,
50,3.5,31,5,20,2031,23666444.61517432,78.57348310512774,23666544.61517432,5,
50,4.5,23,5,30,854,20128577.336709067,80.80619391755931,39817732.10222296,5,
50,3.5,21,4,30,1191,16990664.029235892,95.24,22388021.026181888,4,
